264342341;41.7175;-8.755241;-0.1528078;0.7281078
264342343;41.71743;-8.755982;-0.1528207;0.7281065
264342345;41.71734;-8.756716;-0.1528335;0.7281049
264342348;41.71713;-8.757889;-0.152854;0.7281013
264342350;41.71694;-8.759072;-0.1528746;0.728098
264342352;41.71686;-8.759663;-0.152885;0.7280966
264342353;41.71679;-8.760541;-0.1529003;0.7280952
264342355;41.71677;-8.761123;-0.1529104;0.728095
264342357;41.71677;-8.761868;-0.1529234;0.7280951
264342359;41.71681;-8.76258;-0.1529359;0.7280957
264342361;41.7169;-8.76333;-0.152949;0.7280973
264342363;41.71705;-8.764259;-0.1529652;0.7280999
264342365;41.71724;-8.765373;-0.1529846;0.7281032
264342367;41.71827;-8.770558;-0.1530751;0.7281211
264342369;41.71838;-8.771302;-0.1530881;0.7281231
264342370;41.7185;-8.772051;-0.1531012;0.7281252
264342372;41.71854;-8.772637;-0.1531114;0.7281259
264342374;41.71861;-8.773412;-0.1531249;0.7281271
264342376;41.71864;-8.774171;-0.1531382;0.7281275
264342378;41.71863;-8.774773;-0.1531487;0.7281274
264342380;41.71861;-8.775563;-0.1531625;0.7281271
264342382;41.71856;-8.776213;-0.1531738;0.7281262
264342383;41.71849;-8.776949;-0.1531867;0.728125
264342385;41.71838;-8.777754;-0.1532007;0.728123
264342387;41.71822;-8.7785;-0.1532137;0.7281204
264342389;41.71801;-8.779371;-0.1532289;0.7281167
264342392;41.71783;-8.780221;-0.1532438;0.7281135
264342394;41.71764;-8.78097;-0.1532568;0.7281103
264342396;41.7175;-8.781768;-0.1532708;0.7281078
264342397;41.71739;-8.782599;-0.1532853;0.7281058
264342399;41.71734;-8.783139;-0.1532947;0.7281049
264342405;41.71732;-8.783859;-0.1533073;0.7281047
264342407;41.71736;-8.784623;-0.1533206;0.7281052
264342411;41.71739;-8.785277;-0.153332;0.7281058
264342413;41.71782;-8.788411;-0.1533867;0.7281134
264342415;41.71793;-8.789345;-0.153403;0.7281153
264342418;41.71799;-8.790099;-0.1534162;0.7281162
264342420;41.718;-8.790954;-0.1534311;0.7281165
1111774651;41.72271;-8.731627;-0.1523956;0.7281987
1111774659;41.72264;-8.731542;-0.1523941;0.7281975
1303956622;41.71138;-8.775136;-0.153155;0.7280009
1303956626;41.72205;-8.779603;-0.153233;0.7281871
1303956628;41.72493;-8.783729;-0.153305;0.7282374
1303956634;41.72331;-8.779953;-0.1532391;0.7282091
1303956638;41.71852;-8.777472;-0.1531958;0.7281256
1303956639;41.72895;-8.784622;-0.1533206;0.7283076
1303956645;41.72302;-8.779473;-0.1532307;0.7282041
1303956649;41.71697;-8.778362;-0.1532113;0.7280985
1303956650;41.72275;-8.783127;-0.1532945;0.7281994
1303956653;41.71059;-8.775474;-0.1531609;0.7279871
1303956655;41.71886;-8.777488;-0.1531961;0.7281314
1303956665;41.71726;-8.777891;-0.1532031;0.7281036
1303956667;41.72831;-8.783264;-0.1532969;0.7282964
1303956669;41.72374;-8.782723;-0.1532874;0.7282166
1303956675;41.71675;-8.778843;-0.1532197;0.7280946
1303956676;41.714;-8.77664;-0.1531813;0.7280467
1303956677;41.72198;-8.78266;-0.1532863;0.728186
1303956683;41.71588;-8.778646;-0.1532163;0.7280795
1303956688;41.72169;-8.781772;-0.1532708;0.7281809
1303956692;41.72503;-8.783674;-0.153304;0.7282391
1303956700;41.72136;-8.779089;-0.153224;0.728175
1303956702;41.71866;-8.77745;-0.1531954;0.728128
1303956708;41.72312;-8.779479;-0.1532308;0.7282059
1303956710;41.71963;-8.778845;-0.1532197;0.7281449
1303956712;41.71432;-8.77686;-0.1531851;0.7280523
1303956715;41.71075;-8.775251;-0.153157;0.7279899
